# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = itp_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 900
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.98999999999999999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = itp_2.data.R
# init = 2 (Default)
# random
#   seed = 1391286722
# output
#   file = itp_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,muh.1,muh.2,rho,kappa.1,kappa.2,kappa.3,kappa.4,kappa.5,kappa.6,kappa.7,kappa.8,kappa.9,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,L.1.1,L.2.1,L.3.1,L.4.1,L.5.1,L.6.1,L.7.1,L.8.1,L.9.1,L.1.2,L.2.2,L.3.2,L.4.2,L.5.2,L.6.2,L.7.2,L.8.2,L.9.2,L.1.3,L.2.3,L.3.3,L.4.3,L.5.3,L.6.3,L.7.3,L.8.3,L.9.3,L.1.4,L.2.4,L.3.4,L.4.4,L.5.4,L.6.4,L.7.4,L.8.4,L.9.4,L.1.5,L.2.5,L.3.5,L.4.5,L.5.5,L.6.5,L.7.5,L.8.5,L.9.5,L.1.6,L.2.6,L.3.6,L.4.6,L.5.6,L.6.6,L.7.6,L.8.6,L.9.6,L.1.7,L.2.7,L.3.7,L.4.7,L.5.7,L.6.7,L.7.7,L.8.7,L.9.7,L.1.8,L.2.8,L.3.8,L.4.8,L.5.8,L.6.8,L.7.8,L.8.8,L.9.8,L.1.9,L.2.9,L.3.9,L.4.9,L.5.9,L.6.9,L.7.9,L.8.9,L.9.9,muraw.1.1,muraw.2.1,muraw.1.2,muraw.2.2,muraw.1.3,muraw.2.3,muraw.1.4,muraw.2.4,betaraw.1.1,betaraw.2.1,betaraw.1.2,betaraw.2.2,betaraw.1.3,betaraw.2.3,betaraw.1.4,betaraw.2.4,betaraw.1.5,betaraw.2.5,betaraw.1.6,betaraw.2.6,betaraw.1.7,betaraw.2.7,betaraw.1.8,betaraw.2.8,betaraw.1.9,betaraw.2.9,sigma_beta,sigma_h,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9
# Adaptation terminated
# Step size = 0.00890482
# Diagonal elements of inverse mass matrix:
# 0.545433, 0.495421, 0.00019946, 0.00329843, 0.00178528, 0.00314026, 0.00149497, 0.00237121, 0.00341577, 0.00109838, 0.00195583, 0.00169303, 0.00740972, 0.00652995, 0.0101048, 0.00876984, 0.00921953, 0.0113664, 0.00807233, 0.00929257, 0.00496519, 0.000156959, 0.000188212, 0.000184071, 0.000207612, 0.000177423, 0.000191979, 0.0001763, 0.000171063, 0.000171388, 0.000193532, 0.00018537, 0.000202346, 0.000167324, 0.000190758, 0.000168537, 0.000164323, 0.00020546, 0.000216993, 0.000193308, 0.000178778, 0.000183452, 0.000200913, 0.000193813, 0.000159593, 0.000189518, 0.000165493, 0.000216232, 0.00016055, 0.000178247, 0.000149755, 0.000188245, 0.000211575, 0.000188, 0.000170323, 0.000199999, 0.000219024, 0.269589, 0.461631, 0.283131, 0.455185, 0.306482, 0.257702, 0.310451, 0.288521, 0.667234, 0.716273, 0.555497, 0.572372, 0.666317, 0.746104, 0.502419, 0.549414, 0.584828, 0.827038, 0.722229, 0.684224, 0.699114, 0.666142, 0.612997, 0.445471, 0.570521, 0.598478, 0.212511, 0.156543, 0.00014475, 0.000121162, 0.000119976, 0.000144369, 0.000130733, 0.000123664, 0.000120612, 0.000139547, 0.000131905
-13754.5,0.972143,0.00890482,9,511,0,13805.9,-2.37919,9.59982,0.704437,0.155139,0.253236,0.238574,0.302537,0.273548,0.227597,0.418445,0.267758,0.260977,-1.52289,-2.83409,-1.75256,-1.14342,-1.21458,-2.28231,-4.28481,-1.85455,2.44085,1,0.0674167,0.158463,-0.0649833,0.088882,-0.257985,-0.105524,0.0265087,0.146495,0,0.997725,0.171877,0.0139626,-0.369512,0.00929266,0.0666224,-0.0645895,0.245718,0,0,0.97229,-0.232575,0.212262,0.0970876,0.163604,0.0771121,0.0789091,0,0,0,0.970305,0.069459,0.115532,0.158928,0.0863199,-0.0442281,0,0,0,0,0.897598,0.0903324,-0.283949,-0.159518,0.0503656,0,0,0,0,0,0.94996,0.250077,-0.175717,0.00626831,0,0,0,0,0,0,0.88839,0.00675907,-0.019343,0,0,0,0,0,0,0,0.961956,-0.152246,0,0,0,0,0,0,0,0,0.940133,-1.06235,-0.0612399,0.276442,-0.159414,-0.566409,-0.947982,-1.74291,-1.03107,0.202535,0.776195,1.13378,-0.012705,1.34562,-0.0515854,0.36006,0.0141582,-1.2498,0.835977,-0.339036,0.514646,-1.32563,1.16751,-2.44014,-0.660855,-0.916722,0.252647,0.461475,1.16516,1.60822,1.37864,1.67452,1.48173,1.63755,1.85788,1.52142,1.54939,1.29858
-13755.6,0.984228,0.00890482,9,511,0,13799.1,-2.8068,10.0846,0.701901,0.169162,0.251291,0.246624,0.32452,0.344477,0.231697,0.402256,0.272197,0.241042,-1.74539,-2.70248,-1.75153,-1.22794,-1.11054,-2.19353,-4.35655,-1.98535,2.32294,1,0.052654,0.158531,-0.0729163,0.10928,-0.23801,-0.0949134,-0.0105791,0.135052,0,0.998613,0.155815,0.00416489,-0.367024,0.0423774,0.0475289,-0.0833295,0.282406,0,0,0.974982,-0.219104,0.191798,0.108637,0.170474,0.0692326,0.0848679,0,0,0,0.972964,0.0448075,0.126236,0.137907,0.103926,-0.0349396,0,0,0,0,0.902528,0.0992903,-0.313649,-0.144006,0.0726024,0,0,0,0,0,0.950768,0.262983,-0.155758,0.0224392,0,0,0,0,0,0,0.879271,0.00481859,-0.0169876,0,0,0,0,0,0,0,0.965572,-0.148396,0,0,0,0,0,0,0,0,0.930323,0.0949959,0.0370243,0.658524,-0.694079,-0.311853,-1.17132,-1.37933,-1.0232,-1.01741,-0.748194,-1.93621,-1.56597,1.97838,0.097983,0.436972,1.03465,-0.864047,-0.969462,-0.350095,0.617412,-0.740805,1.53237,-1.92061,-1.25025,-0.282297,0.322556,0.336596,1.35101,1.58864,1.33675,1.64887,1.47137,1.62386,1.82214,1.5035,1.532,1.29324
-13760.7,0.995921,0.00890482,9,511,0,13806,-2.78069,10.3896,0.702689,0.167275,0.246282,0.224463,0.315887,0.330759,0.236577,0.399231,0.266933,0.253991,-1.82784,-2.63067,-1.74257,-1.22046,-1.10954,-2.24818,-4.37967,-1.95041,2.37079,1,0.0564107,0.181236,-0.0665658,0.124032,-0.248545,-0.0973175,-0.0120215,0.136431,0,0.998408,0.144199,0.0205599,-0.369734,0.0318187,0.0609934,-0.0776012,0.276563,0,0,0.97281,-0.224637,0.191177,0.108154,0.15712,0.0698925,0.0871052,0,0,0,0.971949,0.0453752,0.120503,0.131881,0.111012,-0.0372097,0,0,0,0,0.899614,0.0898602,-0.306275,-0.135347,0.0764535,0,0,0,0,0,0.950221,0.249706,-0.162346,0.0145245,0,0,0,0,0,0,0.888016,-0.00501543,-0.0116086,0,0,0,0,0,0,0,0.965362,-0.158215,0,0,0,0,0,0,0,0,0.929895,-0.0167843,-0.17011,0.672457,-0.887761,-0.323391,-1.27505,-1.32967,-1.27506,-0.230732,-0.904482,-1.74061,-1.60719,1.47199,1.46243,0.440689,1.00206,-0.665333,-1.41465,0.250778,0.203542,-1.17769,1.58243,-2.72339,-0.936959,0.182228,0.0795722,0.339372,1.38463,1.59605,1.34517,1.66083,1.46568,1.61096,1.81856,1.51048,1.54979,1.26871
-13759.9,0.99339,0.00890482,9,511,0,13801.9,-3.3914,10.6881,0.706426,0.18425,0.246164,0.237435,0.294736,0.280976,0.211579,0.4128,0.270874,0.237753,-1.50214,-2.89438,-1.75346,-1.14033,-1.09544,-2.21561,-4.31262,-2.0507,2.62614,1,0.0504082,0.153128,-0.0708374,0.0762726,-0.262983,-0.0829875,0.0272595,0.156485,0,0.998729,0.156909,0.0171996,-0.351194,0.0136449,0.0126099,-0.0680295,0.262018,0,0,0.97567,-0.20779,0.230202,0.115158,0.174194,0.104289,0.0670566,0,0,0,0.975453,0.0683823,0.0894011,0.149514,0.0926842,-0.0436308,0,0,0,0,0.901763,0.0812454,-0.303888,-0.167651,0.0771162,0,0,0,0,0,0.950157,0.256074,-0.18211,0.0372392,0,0,0,0,0,0,0.884496,-0.00528889,-0.0131422,0,0,0,0,0,0,0,0.955962,-0.146508,0,0,0,0,0,0,0,0,0.933535,0.0939041,-0.81577,1.18218,-0.657218,-0.19829,-1.60537,-1.24565,-1.3784,-0.0109396,-1.05924,0.61551,1.28471,1.1309,-1.29163,-0.390956,-0.318909,0.0334986,0.743521,1.08681,1.84624,0.764056,1.04088,-0.782012,-0.776878,0.526116,-0.0403884,0.322021,1.4749,1.60894,1.3549,1.65313,1.46987,1.65337,1.85693,1.49156,1.54685,1.32979
-13761.2,0.991332,0.00890482,9,511,0,13801.1,-2.49746,10.1239,0.707427,0.165046,0.248784,0.215832,0.309517,0.293392,0.229803,0.425329,0.294905,0.249461,-1.49736,-2.59478,-1.69079,-1.14446,-1.18455,-2.41638,-4.23822,-2.01502,2.49671,1,0.0646817,0.160076,-0.0492051,0.108039,-0.2663,-0.100601,-0.00210735,0.122813,0,0.997906,0.12288,0.00244793,-0.357278,0.0135997,0.0291319,-0.0850739,0.268919,0,0,0.979426,-0.210427,0.210188,0.0999146,0.151378,0.0846441,0.0703275,0,0,0,0.976367,0.0618579,0.126655,0.130007,0.110723,-0.0415168,0,0,0,0,0.901485,0.101168,-0.304589,-0.135004,0.0868795,0,0,0,0,0,0.944796,0.252177,-0.173392,0.0286669,0,0,0,0,0,0,0.890419,0.00973693,-0.0223044,0,0,0,0,0,0,0,0.961742,-0.163142,0,0,0,0,0,0,0,0,0.932978,-0.723083,-0.54696,0.63644,-0.446826,-0.494511,-0.958564,-1.76531,-1.06055,0.823685,0.588108,0.479942,0.804866,0.355982,-0.0384919,-0.609896,0.473798,-0.676354,-0.797841,1.07855,0.953173,0.685208,1.23196,-0.0894636,-1.50358,0.896763,0.36161,0.332654,1.50725,1.60741,1.34035,1.67368,1.47573,1.61374,1.85479,1.5221,1.56382,1.27217
-13769.7,0.998246,0.00890482,9,511,0,13805.9,-2.21172,9.16598,0.702058,0.173373,0.24814,0.224661,0.32666,0.293462,0.211128,0.409098,0.259118,0.244677,-1.63526,-2.79854,-1.6008,-1.29874,-1.17623,-2.10177,-4.34094,-1.92397,2.53668,1,0.0498576,0.150335,-0.0531225,0.0869339,-0.240212,-0.0855611,0.0269306,0.157575,0,0.998756,0.168356,0.0417116,-0.382915,0.0208405,0.0437437,-0.0470972,0.25524,0,0,0.974195,-0.222573,0.194818,0.124182,0.18739,0.0925883,0.0788173,0,0,0,0.972574,0.0710104,0.10535,0.156639,0.0882704,-0.0334271,0,0,0,0,0.896003,0.0901841,-0.279814,-0.152593,0.0384639,0,0,0,0,0,0.952476,0.271555,-0.185225,0.0294654,0,0,0,0,0,0,0.882653,0.00247943,0.0025511,0,0,0,0,0,0,0,0.960777,-0.15124,0,0,0,0,0,0,0,0,0.936731,-0.755585,0.420958,0.415802,-0.126637,-0.692601,-0.62552,-2.02331,-0.423788,0.296767,-0.681569,-0.345168,-0.202949,1.00794,0.773689,0.154411,2.24642,-1.28607,0.788027,-2.02644,0.948918,-0.519287,1.53722,-2.46639,-1.17194,-0.325068,-0.0399841,0.243646,1.32721,1.58666,1.37471,1.63146,1.47647,1.64691,1.84703,1.47596,1.54152,1.31428
