# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = itp1_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 900
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.98999999999999999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = itp1_1.data.R
# init = 2 (Default)
# random
#   seed = 1381182328
# output
#   file = itp1_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,muh.1,muh.2,rho,kappa.1,kappa.2,kappa.3,kappa.4,kappa.5,kappa.6,kappa.7,kappa.8,kappa.9,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,L.1.1,L.2.1,L.3.1,L.4.1,L.5.1,L.6.1,L.7.1,L.8.1,L.9.1,L.1.2,L.2.2,L.3.2,L.4.2,L.5.2,L.6.2,L.7.2,L.8.2,L.9.2,L.1.3,L.2.3,L.3.3,L.4.3,L.5.3,L.6.3,L.7.3,L.8.3,L.9.3,L.1.4,L.2.4,L.3.4,L.4.4,L.5.4,L.6.4,L.7.4,L.8.4,L.9.4,L.1.5,L.2.5,L.3.5,L.4.5,L.5.5,L.6.5,L.7.5,L.8.5,L.9.5,L.1.6,L.2.6,L.3.6,L.4.6,L.5.6,L.6.6,L.7.6,L.8.6,L.9.6,L.1.7,L.2.7,L.3.7,L.4.7,L.5.7,L.6.7,L.7.7,L.8.7,L.9.7,L.1.8,L.2.8,L.3.8,L.4.8,L.5.8,L.6.8,L.7.8,L.8.8,L.9.8,L.1.9,L.2.9,L.3.9,L.4.9,L.5.9,L.6.9,L.7.9,L.8.9,L.9.9,muraw.1.1,muraw.2.1,muraw.1.2,muraw.2.2,muraw.1.3,muraw.2.3,muraw.1.4,muraw.2.4,betaraw.1.1,betaraw.2.1,betaraw.1.2,betaraw.2.2,betaraw.1.3,betaraw.2.3,betaraw.1.4,betaraw.2.4,betaraw.1.5,betaraw.2.5,betaraw.1.6,betaraw.2.6,betaraw.1.7,betaraw.2.7,betaraw.1.8,betaraw.2.8,betaraw.1.9,betaraw.2.9,sigma_beta,sigma_h,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9
# Adaptation terminated
# Step size = 0.0094627
# Diagonal elements of inverse mass matrix:
# 1.0199, 1.44814, 0.000228484, 0.00186513, 0.00145639, 0.00209672, 0.00147375, 0.00323792, 0.00374044, 0.00164306, 0.00110462, 0.00221273, 0.00749105, 0.00433371, 0.00834189, 0.0104231, 0.00582332, 0.00634786, 0.00988963, 0.00580399, 0.00571492, 0.000174093, 0.00017917, 0.000203177, 0.000168395, 0.000186604, 0.000206599, 0.000176658, 0.000181439, 0.000197916, 0.000174385, 0.000197202, 0.000196066, 0.0001797, 0.000196489, 0.000202195, 0.000180228, 0.00019423, 0.000174278, 0.000216257, 0.000192162, 0.000180475, 0.000194994, 0.000197138, 0.000201267, 0.000203462, 0.000169339, 0.000168132, 0.000224647, 0.000166119, 0.000174784, 0.000180398, 0.000165177, 0.00017581, 0.0001556, 0.000196434, 0.000191293, 0.207089, 0.237202, 0.269099, 0.441027, 0.351833, 0.284446, 0.347394, 0.282746, 0.760995, 0.835076, 0.835578, 0.811454, 0.78983, 0.687831, 0.788781, 0.885077, 0.827243, 0.998505, 0.763208, 0.8954, 0.964845, 0.88191, 0.835033, 0.957735, 0.915329, 0.970283, 1.15939, 0.123106, 0.00012651, 0.000132697, 0.000129405, 0.000140596, 0.000140823, 0.000119088, 0.000131028, 0.000130839, 0.000133494
-11191.5,0.988182,0.0094627,9,511,0,11244,-0.080292,9.14196,0.706369,0.24456,0.17843,0.216436,0.375649,0.209955,0.179937,0.263565,0.241162,0.176568,0.96268,0.0592676,-0.0439699,1.72369,1.90623,2.2592,2.09366,-0.775956,-1.25841,1,0.111594,-0.0257931,0.0223144,-0.0179239,0.0784676,-0.153712,-0.242462,0.0918615,0,0.993754,0.0854538,0.320036,0.139166,-0.13562,0.018573,-0.0528911,0.260246,0,0,0.996008,0.221325,0.126532,-0.0616826,-0.0818395,-0.175914,0.0583381,0,0,0,0.92092,-0.134747,0.217135,-0.0458654,-0.0358598,0.0701836,0,0,0,0,0.9727,0.0275786,-0.0552817,-0.266861,-0.0868182,0,0,0,0,0,0.961113,-0.221436,0.0303923,0.0591277,0,0,0,0,0,0,0.956627,0.000241201,0.0906011,0,0,0,0,0,0,0,0.913261,0.309157,0,0,0,0,0,0,0,0,0.89481,-0.77969,1.05315,-0.479869,0.421674,-0.0156223,-0.317617,-2.13162,0.193063,0.505313,-0.0745551,0.286338,-0.0646316,0.991837,-0.877174,0.424808,-0.29651,-0.417989,0.167193,1.28078,0.264942,1.87577,1.90488,0.904997,0.382904,0.740063,-0.0651138,0.0946475,2.19095,1.5889,1.2931,1.55268,1.67477,1.33064,1.34932,1.76048,1.32584,1.36944
-11199.9,0.946717,0.0094627,9,511,0,11234.2,-1.96978,9.10743,0.698616,0.210025,0.174328,0.20618,0.38293,0.229306,0.167199,0.281896,0.245092,0.179875,1.04177,-0.0216613,-0.0995584,1.54993,1.83284,2.53873,2.0477,-0.800569,-1.39153,1,0.113295,-0.0489381,0.047499,-0.0454314,0.117764,-0.166776,-0.241019,0.101795,0,0.993561,0.108889,0.325087,0.111326,-0.148847,0.0158596,-0.0645333,0.246163,0,0,0.992849,0.194128,0.157201,-0.0969341,-0.0747409,-0.194427,0.0603072,0,0,0,0.924325,-0.125791,0.215393,-0.0553705,-0.0301727,0.0867102,0,0,0,0,0.972115,0.0595685,-0.0667434,-0.266991,-0.102067,0,0,0,0,0,0.951124,-0.240554,0.0363552,0.0459206,0,0,0,0,0,0,0.94919,-0.0160084,0.0761921,0,0,0,0,0,0,0,0.90894,0.297764,0,0,0,0,0,0,0,0,0.900495,0.2728,2.17897,1.0824,0.708581,1.50419,-0.713701,-2.23739,0.659887,-0.852758,0.715773,0.226931,0.0670999,-0.947644,0.976411,-0.487042,0.241636,-0.171735,-0.276513,-0.397128,-0.168253,-0.572742,-0.291668,-1.88203,0.165463,-1.43236,-2.62265,0.0273497,1.18507,1.56581,1.25237,1.58316,1.6704,1.32557,1.3715,1.74525,1.32259,1.33073
-11199.1,0.999201,0.0094627,9,511,0,11243.6,-2.51495,10.0283,0.709687,0.2373,0.177952,0.200491,0.38826,0.203389,0.181075,0.272309,0.252415,0.174075,1.14359,-0.0674539,0.0627145,1.59004,1.88998,2.32299,2.113,-0.853806,-1.34508,1,0.120408,-0.0127434,0.0231629,-0.0195914,0.0784095,-0.163389,-0.250082,0.10663,0,0.992724,0.0852071,0.325094,0.124471,-0.126563,0.0265922,-0.0490656,0.256121,0,0,0.996282,0.222751,0.135911,-0.0568498,-0.0789901,-0.171963,0.0401569,0,0,0,0.918781,-0.149886,0.210394,-0.0452944,-0.0254036,0.0807078,0,0,0,0,0.971177,0.0298481,-0.0613318,-0.257388,-0.080903,0,0,0,0,0,0.964077,-0.22504,0.0281132,0.0678206,0,0,0,0,0,0,0.953887,0.00968598,0.081218,0,0,0,0,0,0,0,0.91526,0.302222,0,0,0,0,0,0,0,0,0.897678,0.370372,0.812951,0.868404,0.0997636,1.31425,-0.884776,-1.23076,-0.259309,0.478144,-1.33725,-0.177477,0.968695,1.40116,-1.25478,0.0826409,-0.222713,-0.936718,1.06746,0.706119,0.613986,1.15029,1.11061,1.16278,0.41171,0.925846,1.02462,0.114568,1.83799,1.61526,1.30896,1.56619,1.66519,1.34483,1.3658,1.78118,1.33189,1.41878
-11213.1,0.983622,0.0094627,9,511,0,11259.4,-2.39511,9.7059,0.704515,0.222989,0.177349,0.211444,0.364876,0.212042,0.163398,0.271125,0.254206,0.179015,0.741078,-0.224076,0.0119303,1.63348,1.8059,2.35767,2.19742,-0.749826,-1.26546,1,0.116968,-0.0408979,0.0134622,-0.00840215,0.080469,-0.137931,-0.257325,0.0680795,0,0.993136,0.0803993,0.317853,0.129457,-0.144016,0.0285109,-0.0429946,0.26191,0,0,0.995923,0.197392,0.131908,-0.0780532,-0.100495,-0.188038,0.049593,0,0,0,0.927267,-0.143676,0.214054,-0.047414,-0.042738,0.0906242,0,0,0,0,0.972177,0.0232998,-0.0530772,-0.276957,-0.1113,0,0,0,0,0,0.959338,-0.237703,0.0575413,0.0691787,0,0,0,0,0,0,0.95315,-0.0183229,0.0804473,0,0,0,0,0,0,0,0.90244,0.294276,0,0,0,0,0,0,0,0,0.897693,0.739816,1.44721,1.00716,0.344206,1.54027,-0.752911,-1.63163,-0.104645,-0.129182,0.449057,1.84523,1.10154,0.286095,-0.773878,0.380255,-1.20128,-0.554521,0.247728,-0.417788,0.272454,1.02638,-0.288372,-1.00574,2.379,-0.16859,2.04332,0.0215858,1.42691,1.59561,1.28138,1.55698,1.65695,1.34903,1.39048,1.7674,1.35541,1.35415
-11205.8,0.986185,0.0094627,9,511,0,11259.9,-3.01538,9.50868,0.704489,0.209292,0.172632,0.201822,0.375461,0.209952,0.162541,0.276285,0.249506,0.176663,0.98974,-0.179887,-0.0258746,1.66008,1.79814,2.4348,2.1951,-0.776679,-1.26653,1,0.103576,-0.0220007,0.0119262,-0.00477579,0.0826043,-0.150554,-0.25678,0.0960066,0,0.994622,0.0829356,0.328775,0.117702,-0.134525,0.016198,-0.0286034,0.268385,0,0,0.996312,0.213125,0.146151,-0.0828613,-0.0868272,-0.182632,0.0269256,0,0,0,0.919969,-0.132653,0.229572,-0.0668627,-0.0341853,0.0933621,0,0,0,0,0.973225,0.0244759,-0.0491623,-0.273362,-0.0967537,0,0,0,0,0,0.95651,-0.219899,0.0471977,0.0483694,0,0,0,0,0,0,0.956185,0.00412812,0.0663968,0,0,0,0,0,0,0,0.906505,0.308613,0,0,0,0,0,0,0,0,0.893285,0.818949,1.35575,1.31353,0.19591,1.76876,-0.590324,-0.979726,0.0621727,-0.913478,0.687085,-0.0924184,1.0436,-0.330809,-1.06026,0.172634,-1.32142,-0.390944,0.351717,-0.576137,0.151099,1.17569,-0.695407,-1.44099,2.64614,-0.881453,1.45692,0.069722,1.66462,1.57419,1.29628,1.56594,1.65433,1.33118,1.38021,1.75713,1.35279,1.36164
-11198.8,0.997784,0.0094627,9,511,0,11238.9,-2.65653,9.93075,0.703612,0.235135,0.180273,0.215657,0.392219,0.223508,0.182172,0.262653,0.251932,0.187062,1.06246,0.169265,-0.13472,1.66382,1.90584,2.34955,2.00623,-0.864544,-1.29264,1,0.121378,-0.0487799,0.0597616,-0.0581828,0.108168,-0.17805,-0.233785,0.112505,0,0.992606,0.118473,0.341231,0.134314,-0.138325,0.0341136,-0.0729851,0.22735,0,0,0.991758,0.204923,0.14028,-0.0691694,-0.0578978,-0.161914,0.0770037,0,0,0,0.915421,-0.136834,0.198847,-0.0382121,-0.0480695,0.0667162,0,0,0,0,0.969625,0.0445527,-0.0807948,-0.255523,-0.09639,0,0,0,0,0,0.960654,-0.241913,0.0209005,0.0551063,0,0,0,0,0,0,0.947245,-0.00287303,0.0852173,0,0,0,0,0,0,0,0.919649,0.285855,0,0,0,0,0,0,0,0,0.907729,0.472011,0.982003,1.1943,-0.0603424,1.59759,-1.00595,-1.29834,-0.0698742,1.33258,-0.578536,-0.504802,-1.45151,0.691307,1.26459,-0.281501,0.985914,-0.0478876,-0.683379,1.27248,0.326884,0.297369,0.923696,0.0950391,-1.97342,0.819493,-2.4201,0.151223,1.56099,1.58474,1.26178,1.57806,1.66841,1.34555,1.36518,1.75781,1.332,1.36923
