# 1.498, 1.07457, 0.000196035, 0.00207355, 0.00189293, 0.00228568, 0.00123437, 0.00263084, 0.00311038, 0.00175103, 0.00110932, 0.00277995, 0.00757348, 0.00505693, 0.00856403, 0.00837053, 0.00710527, 0.00591406, 0.0082909, 0.00627296, 0.00648087, 0.000186852, 0.000198323, 0.000153581, 0.000169592, 0.000175149, 0.000195114, 0.000190995, 0.000207026, 0.000205271, 0.00018092, 0.000157655, 0.00018901, 0.000170335, 0.000166976, 0.000186116, 0.000152463, 0.000191544, 0.000184319, 0.000191799, 0.000163794, 0.000160233, 0.000205331, 0.000164476, 0.000173126, 0.000173173, 0.000171929, 0.000193207, 0.00018287, 0.000209834, 0.000223642, 0.000190714, 0.000171443, 0.000159659, 0.000192563, 0.000207364, 0.000187588, 0.269517, 0.287204, 0.323229, 0.512672, 0.267463, 0.208729, 0.302763, 0.226724, 0.788108, 0.604291, 0.871068, 0.798046, 0.662994, 0.617908, 0.743739, 0.705312, 0.715933, 0.930406, 0.849958, 0.805619, 0.792544, 0.845202, 0.907053, 0.780882, 0.641984, 0.919857, 0.570926, 0.119209, 0.000133874, 0.00015825, 0.000113613, 0.000121247, 0.000119956, 0.000120564, 0.000125146, 0.000133457, 0.000138171
-11202.9,0.999703,0.00718884,9,511,0,11247.8,-2.9232,11.4805,0.700353,0.228648,0.163979,0.207439,0.357852,0.22443,0.170157,0.285138,0.253575,0.206761,1.00497,0.0227255,0.0530104,1.72979,1.92398,2.48181,2.11948,-0.870945,-1.30885,1,0.113813,-0.0181045,0.0251596,-0.00262062,0.113663,-0.169829,-0.251814,0.0894977,0,0.993502,0.110691,0.324983,0.120836,-0.118405,0.0259888,-0.0464346,0.254397,0,0,0.99369,0.211155,0.157381,-0.072131,-0.0862934,-0.189784,0.0428306,0,0,0,0.921502,-0.132078,0.230476,-0.0464976,-0.0469622,0.0816352,0,0,0,0,0.971174,0.0445674,-0.0852173,-0.271304,-0.113182,0,0,0,0,0,0.955381,-0.237478,0.0504866,0.0457307,0,0,0,0,0,0,0.947215,-0.00988377,0.0754057,0,0,0,0,0,0,0,0.905515,0.291763,0,0,0,0,0,0,0,0,0.901699,0.42661,0.0828741,0.71654,-0.538454,1.14998,-1.18306,-0.628612,-0.786392,0.798183,-1.58499,-0.382464,1.17296,0.400598,-1.20045,-0.21165,-0.401373,-1.46789,-0.105475,-0.856683,-0.565349,-0.161483,1.71752,-0.182416,1.67658,0.904649,-0.202759,0.24148,2.74268,1.57702,1.25712,1.56323,1.65357,1.35249,1.4056,1.75941,1.33341,1.38141
-11204.3,0.986563,0.00718884,9,511,0,11257,-3.0755,9.53137,0.699816,0.228438,0.185807,0.20846,0.402152,0.221796,0.179849,0.28377,0.244312,0.189507,0.994603,-0.0314603,0.0101885,1.63724,2.07676,2.60623,1.86484,-0.886958,-1.27542,1,0.092699,-0.0271982,0.0313802,-0.00572993,0.0946984,-0.168844,-0.265573,0.0648797,0,0.995694,0.0817246,0.320817,0.139244,-0.14239,0.0308683,-0.041738,0.260325,0,0,0.996284,0.197436,0.153845,-0.0760773,-0.0750469,-0.182511,0.0502236,0,0,0,0.925803,-0.118096,0.233488,-0.0713093,-0.0349271,0.0912538,0,0,0,0,0.971063,0.0542665,-0.0533104,-0.272715,-0.0747158,0,0,0,0,0,0.952632,-0.237991,0.0144137,0.0661331,0,0,0,0,0,0,0.948863,-0.0147005,0.0809283,0,0,0,0,0,0,0,0.904655,0.301448,0,0,0,0,0,0,0,0,0.899886,0.787617,1.02212,1.11883,0.255769,1.3217,-0.806471,-0.714997,0.0670172,0.0433199,1.15514,-0.15486,-0.694857,0.0492175,-0.597007,0.4378,0.460231,-0.864389,0.0783233,-0.763593,0.929901,1.35368,0.158144,-1.19295,2.67512,0.365772,-2.35081,0.109447,1.92042,1.57237,1.28167,1.54443,1.6344,1.32434,1.3373,1.75883,1.32251,1.34569
-11204.9,0.959533,0.00718884,9,511,0,11244.5,-1.52626,9.86901,0.70433,0.23092,0.170453,0.194965,0.364402,0.203687,0.166195,0.2762,0.26742,0.182092,1.07555,-0.0127214,-0.152428,1.64733,1.70883,2.19777,2.12733,-0.767081,-1.40003,1,0.13277,-0.039615,0.0501922,-0.0476001,0.0892819,-0.148699,-0.210698,0.140208,0,0.991147,0.112211,0.323607,0.104762,-0.136179,0.0151469,-0.0569338,0.228285,0,0,0.992894,0.21501,0.128557,-0.0683606,-0.0692566,-0.184018,0.0576807,0,0,0,0.920071,-0.148367,0.196427,-0.0367395,-0.0483314,0.0723473,0,0,0,0,0.973766,0.0242449,-0.0780191,-0.266884,-0.109917,0,0,0,0,0,0.964178,-0.226111,0.0487774,0.0441629,0,0,0,0,0,0,0.95619,0.00972117,0.0651256,0,0,0,0,0,0,0,0.917859,0.299947,0,0,0,0,0,0,0,0,0.900791,-0.306736,1.76679,0.862577,0.328621,1.46674,-0.827737,-3.02876,-0.19992,-0.0350499,-0.338803,0.172711,0.224716,0.563907,0.7372,-0.865039,-0.359526,0.557639,-0.957653,1.30315,-0.345095,-0.15649,0.165121,-0.509482,-0.362782,0.623586,0.568843,0.275847,0.968192,1.59404,1.26333,1.57992,1.67535,1.32978,1.37577,1.76145,1.30626,1.3899
-11200.8,0.998581,0.00718884,9,511,0,11245.9,-0.410658,8.85402,0.703109,0.229419,0.175485,0.196409,0.386724,0.225912,0.18967,0.278595,0.241194,0.19161,0.842098,-0.092414,0.0386921,1.50105,1.97153,2.54721,2.04874,-0.783883,-1.23953,1,0.0972801,-0.0325653,0.0182453,-0.0271755,0.0962136,-0.167044,-0.250263,0.0696896,0,0.995257,0.0950945,0.326619,0.142355,-0.151147,0.0406493,-0.0514245,0.266084,0,0,0.994935,0.20112,0.155806,-0.092748,-0.0779522,-0.17505,0.054548,0,0,0,0.92333,-0.11478,0.232546,-0.07079,-0.0345248,0.082125,0,0,0,0,0.970333,0.0695534,-0.0733848,-0.27116,-0.0846096,0,0,0,0,0,0.948883,-0.234934,0.0162516,0.0653386,0,0,0,0,0,0,0.948039,-0.0326294,0.079885,0,0,0,0,0,0,0,0.909963,0.306032,0,0,0,0,0,0,0,0,0.896191,-0.698942,1.52574,-0.316615,0.692411,0.0136398,-0.530739,-2.34082,0.477442,0.615749,0.233313,0.00579684,-0.299039,0.115985,-0.102486,1.11701,-0.363306,-1.27338,-0.00224361,0.242115,-0.912758,0.0381512,0.54961,-0.535217,1.14316,1.19182,-2.70174,0.14451,1.76012,1.5854,1.30022,1.56369,1.64297,1.34914,1.37377,1.77251,1.34298,1.35721
-11192.3,0.995372,0.00718884,9,511,0,11240.5,-0.83847,9.17375,0.69951,0.243404,0.18755,0.212767,0.403895,0.210525,0.180084,0.27788,0.266524,0.191296,0.918637,-0.0820336,0.0110367,1.6882,1.89498,2.3724,2.04543,-0.8902,-1.39027,1,0.101217,-0.0312215,0.0345909,-0.0241766,0.0987104,-0.162963,-0.241862,0.10327,0,0.994864,0.107724,0.31878,0.106785,-0.147503,0.0248812,-0.049144,0.238891,0,0,0.993691,0.210547,0.13554,-0.0782159,-0.0653921,-0.208551,0.0375031,0,0,0,0.9235,-0.13683,0.207247,-0.0495677,-0.0384938,0.0840435,0,0,0,0,0.975151,0.0101326,-0.0531749,-0.260267,-0.0974847,0,0,0,0,0,0.958816,-0.231683,0.0448468,0.0503976,0,0,0,0,0,0,0.953722,0.00901895,0.0655121,0,0,0,0,0,0,0,0.907899,0.291811,0,0,0,0,0,0,0,0,0.906812,-0.385362,0.982822,-0.0364147,0.354183,0.334148,-0.445665,-1.79386,0.218486,-0.534697,0.678024,-0.404889,1.28924,2.45038,0.54239,-0.110783,0.0402496,-1.17315,0.619772,-0.0524986,-0.70073,0.551061,0.763964,-0.340449,1.58794,1.48024,0.280862,0.118729,2.01668,1.58338,1.26133,1.5888,1.65016,1.30859,1.37363,1.74683,1.30796,1.37391
-11186.7,0.988321,0.00718884,9,511,0,11225.3,-0.285382,9.20416,0.703594,0.244774,0.18273,0.222221,0.395973,0.213205,0.174579,0.280067,0.253339,0.193209,0.940014,-0.072294,-0.0174544,1.69355,1.9411,2.4348,1.96857,-0.828556,-1.40882,1,0.120562,-0.0288971,0.0256618,-0.0217224,0.0960006,-0.160597,-0.241353,0.112607,0,0.992706,0.114496,0.319096,0.138654,-0.137149,0.0398575,-0.047077,0.24514,0,0,0.993003,0.21727,0.132236,-0.0625036,-0.0631605,-0.199142,0.0548818,0,0,0,0.922124,-0.149168,0.21991,-0.0489456,-0.031858,0.0874997,0,0,0,0,0.969828,0.00828379,-0.0539442,-0.279299,-0.106522,0,0,0,0,0,0.958978,-0.232906,0.0247583,0.0475888,0,0,0,0,0,0,0.953457,0.00244605,0.0618534,0,0,0,0,0,0,0,0.905667,0.273691,0,0,0,0,0,0,0,0,0.907862,-0.761628,1.1538,-0.336973,0.303854,0.00820185,-0.604776,-2.43841,0.235971,-0.465387,0.028522,-0.267675,0.993663,1.15929,0.301785,7.03539e-05,0.384241,-0.561487,0.726365,0.260325,-0.126946,-0.0171062,1.23769,-0.581567,1.0457,1.32749,-0.0615143,0.116248,1.73606,1.5849,1.26667,1.55986,1.65613,1.35052,1.36978,1.7351,1.31188,1.35848
-11199.6,0.995763,0.00718884,9,511,0,11238,-2.23376,10.4405,0.70421,0.208567,0.182055,0.191375,0.377524,0.214028,0.155974,0.271127,0.250257,0.185805,1.11473,-0.0671889,-0.0148646,1.34975,1.82475,2.4151,2.1204,-0.75591,-1.34409,1,0.11649,-0.0377038,0.0662664,-0.0419729,0.0926158,-0.170211,-0.229439,0.105446,0,0.993192,0.0770858,0.333196,0.103461,-0.142486,0.00471906,-0.0595256,0.244147,0,0,0.996311,0.202627,0.147581,-0.0812105,-0.0935897,-0.167591,0.0607708,0,0,0,0.91844,-0.116208,0.205224,-0.0514877,-0.0490238,0.07896,0,0,0,0,0.975833,0.0627431,-0.0680987,-0.268095,-0.0950071,0,0,0,0,0,0.958369,-0.235234,0.0371167,0.055952,0,0,0,0,0,0,0.948485,-0.0148408,0.0931235,0,0,0,0,0,0,0,0.916434,0.327485,0,0,0,0,0,0,0,0,0.889534,0.212839,0.854054,1.2324,-0.15374,1.48177,-1.45557,-1.84928,-0.535574,1.02369,0.748649,0.793936,-1.82606,-0.0941272,0.184363,-0.439678,-0.585935,0.500905,-0.857869,1.73251,0.571855,0.783064,0.454387,-0.584015,-0.565245,0.438789,-1.81327,0.138658,1.2961,1.58939,1.27045,1.56485,1.64862,1.31797,1.35112,1.77459,1.32608,1.38273
-11204.9,0.996788,0.00718884,9,511,0,11237.3,-2.30146,10.4383,0.705776,0.210363,0.181721,0.19017,0.383775,0.210222,0.159654,0.271847,0.245958,0.188322,1.03018,-0.0611983,-0.12986,1.32298,1.85308,2.43095,2.06561,-0.815768,-1.27337,1,0.111003,-0.0372195,0.0628182,-0.0504448,0.0956607,-0.16913,-0.223781,0.099371,0,0.99382,0.0860148,0.330864,0.109975,-0.132781,0.00605232,-0.046631,0.244912,0,0,0.995598,0.198594,0.153143,-0.0906465,-0.0925703,-0.174293,0.0640161,0,0,0,0.920404,-0.119498,0.202724,-0.047678,-0.033068,0.0801793,0,0,0,0,0.973462,0.0707143,-0.0676919,-0.273868,-0.0919279,0,0,0,0,0,0.958595,-0.230907,0.0441444,0.0560304,0,0,0,0,0,0,0.950061,-0.0222809,0.0910675,0,0,0,0,0,0,0,0.915875,0.316566,0,0,0,0,0,0,0,0,0.894158,0.363706,1.04438,1.50342,-0.0907684,1.62883,-1.5836,-2.01305,-0.534134,1.04479,0.983729,0.287746,-1.27146,-0.336966,-0.055322,-1.1057,-0.84604,0.325548,-0.270552,2.71784,0.322566,0.874561,0.52186,-0.242834,-0.343705,0.193712,-1.25325,0.115823,1.16638,1.59106,1.27364,1.56345,1.63863,1.31721,1.35102,1.77142,1.32897,1.37902
-11191.5,0.999801,0.00718884,9,511,0,11239.5,-0.778886,10.5967,0.700349,0.228681,0.1774,0.208617,0.379667,0.231117,0.17896,0.287263,0.251091,0.188109,0.881408,-0.042459,-0.0261214,1.72576,1.84734,2.3985,2.09047,-0.809887,-1.39292,1,0.121551,-0.0221906,0.0228048,-0.0124277,0.106075,-0.160653,-0.23803,0.102083,0,0.992585,0.117692,0.324443,0.137815,-0.148889,0.0352921,-0.074116,0.252965,0,0,0.992802,0.220109,0.141082,-0.0622065,-0.0580372,-0.196329,0.0441927,0,0,0,0.919657,-0.157256,0.227211,-0.0559931,-0.0382064,0.0881231,0,0,0,0,0.967584,0.0113842,-0.0603746,-0.264465,-0.104568,0,0,0,0,0,0.95444,-0.233221,0.0199068,0.0474017,0,0,0,0,0,0,0.953103,0.00964532,0.0655711,0,0,0,0,0,0,0,0.909623,0.277302,0,0,0,0,0,0,0,0,0.906362,-0.332182,0.423733,-0.0698883,-0.326632,0.316183,-1.08852,-1.62553,-0.363035,-0.188023,-0.415994,0.217373,1.40676,1.17859,0.0873923,0.278764,0.666485,-0.82443,-0.00716099,-0.711342,-0.65985,0.187777,-0.402147,-1.33973,0.600951,0.0853315,0.357405,0.117395,2.26304,1.5752,1.26261,1.5443,1.65543,1.33397,1.35453,1.73189,1.31386,1.33366
-11201.2,0.999462,0.00718884,9,511,0,11242.6,-0.563191,11.3181,0.698869,0.216262,0.164597,0.213698,0.383371,0.217514,0.164267,0.286621,0.265933,0.206285,0.892536,-0.0092688,0.0901679,1.7462,1.89632,2.56673,1.94433,-0.757196,-1.26507,1,0.113491,-0.0452427,0.0496226,-0.0366012,0.0961571,-0.156886,-0.244698,0.108611,0,0.993539,0.0974297,0.344163,0.115088,-0.132392,0.0189149,-0.0372466,0.221324,0,0,0.994214,0.211954,0.160123,-0.0693258,-0.095144,-0.194215,0.0343787,0,0,0,0.913326,-0.13215,0.219985,-0.0660667,-0.0527,0.0763442,0,0,0,0,0.970728,0.0427945,-0.0477043,-0.259561,-0.08472,0,0,0,0,0,0.958225,-0.22224,0.0473248,0.0297311,0,0,0,0,0,0,0.953911,-0.0140174,0.0868526,0,0,0,0,0,0,0,0.910182,0.301301,0,0,0,0,0,0,0,0,0.908748,-0.330906,0.171896,-0.166817,-0.497379,0.00434221,-1.00507,-1.19609,-0.531505,1.17102,0.663367,-1.48107,-0.370258,0.590039,0.33561,0.189635,0.614434,1.28501,0.353388,1.17259,1.60372,0.315024,1.59674,-0.184887,0.199393,0.777681,-1.7332,0.130178,3.23406,1.59552,1.27789,1.57204,1.66775,1.32316,1.36187,1.76217,1.29178,1.36592
