# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = itp1_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 900
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.98999999999999999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = itp1_1.data.R
# init = 2 (Default)
# random
#   seed = 1391277316
# output
#   file = itp1_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,muh.1,muh.2,rho,kappa.1,kappa.2,kappa.3,kappa.4,kappa.5,kappa.6,kappa.7,kappa.8,kappa.9,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,L.1.1,L.2.1,L.3.1,L.4.1,L.5.1,L.6.1,L.7.1,L.8.1,L.9.1,L.1.2,L.2.2,L.3.2,L.4.2,L.5.2,L.6.2,L.7.2,L.8.2,L.9.2,L.1.3,L.2.3,L.3.3,L.4.3,L.5.3,L.6.3,L.7.3,L.8.3,L.9.3,L.1.4,L.2.4,L.3.4,L.4.4,L.5.4,L.6.4,L.7.4,L.8.4,L.9.4,L.1.5,L.2.5,L.3.5,L.4.5,L.5.5,L.6.5,L.7.5,L.8.5,L.9.5,L.1.6,L.2.6,L.3.6,L.4.6,L.5.6,L.6.6,L.7.6,L.8.6,L.9.6,L.1.7,L.2.7,L.3.7,L.4.7,L.5.7,L.6.7,L.7.7,L.8.7,L.9.7,L.1.8,L.2.8,L.3.8,L.4.8,L.5.8,L.6.8,L.7.8,L.8.8,L.9.8,L.1.9,L.2.9,L.3.9,L.4.9,L.5.9,L.6.9,L.7.9,L.8.9,L.9.9,muraw.1.1,muraw.2.1,muraw.1.2,muraw.2.2,muraw.1.3,muraw.2.3,muraw.1.4,muraw.2.4,betaraw.1.1,betaraw.2.1,betaraw.1.2,betaraw.2.2,betaraw.1.3,betaraw.2.3,betaraw.1.4,betaraw.2.4,betaraw.1.5,betaraw.2.5,betaraw.1.6,betaraw.2.6,betaraw.1.7,betaraw.2.7,betaraw.1.8,betaraw.2.8,betaraw.1.9,betaraw.2.9,sigma_beta,sigma_h,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9
# Adaptation terminated
# Step size = 0.00761947
# Diagonal elements of inverse mass matrix:
# 1.30849, 1.72959, 0.000257134, 0.00192557, 0.00187418, 0.00220333, 0.001563, 0.00281986, 0.00300274, 0.00169203, 0.00142661, 0.00222139, 0.00784107, 0.00514577, 0.00846983, 0.00886829, 0.00638543, 0.00525429, 0.00824968, 0.00556365, 0.00471778, 0.000184329, 0.000188074, 0.000197564, 0.000189609, 0.000184215, 0.000175807, 0.000181967, 0.000168749, 0.000170599, 0.000188253, 0.000223678, 0.000203531, 0.000175495, 0.000184674, 0.00015331, 0.000169095, 0.000208038, 0.000191128, 0.000186531, 0.000192923, 0.000190488, 0.00020829, 0.000172534, 0.000182602, 0.000171112, 0.000160995, 0.000165695, 0.00016587, 0.000216896, 0.000194882, 0.000173073, 0.000166947, 0.000183108, 0.000170242, 0.000174234, 0.000199485, 0.290211, 0.333978, 0.395185, 0.490384, 0.319995, 0.252478, 0.359761, 0.261902, 1.03575, 0.840273, 0.903047, 0.832391, 0.748766, 0.746053, 0.864869, 0.696292, 0.797607, 0.826293, 0.894831, 0.942752, 0.872283, 0.851654, 0.964514, 0.87702, 0.775335, 0.887884, 0.646955, 0.151242, 0.00013147, 0.000125916, 0.00012699, 0.000151347, 0.000133208, 0.000141807, 0.000143304, 0.000141976, 0.000125826
-11202.5,0.987217,0.00761947,9,511,0,11248.4,-2.57436,9.16927,0.70558,0.227859,0.179011,0.211985,0.381802,0.229156,0.168793,0.284784,0.232248,0.182264,0.972655,-0.0859744,-0.00111041,1.61287,1.82091,2.42033,2.18092,-0.791824,-1.33687,1,0.125192,-0.0381957,0.0374977,-0.0299056,0.101718,-0.176075,-0.218786,0.0991219,0,0.992133,0.105521,0.320113,0.143029,-0.143491,0.0483427,-0.0695877,0.245691,0,0,0.993683,0.200854,0.148802,-0.0825085,-0.0749003,-0.187458,0.0532208,0,0,0,0.925083,-0.131642,0.217593,-0.0341052,-0.0533321,0.0641041,0,0,0,0,0.969111,0.0374178,-0.0730875,-0.277517,-0.0961057,0,0,0,0,0,0.955777,-0.214182,0.00890792,0.0175547,0,0,0,0,0,0,0.953243,0.0113866,0.0855909,0,0,0,0,0,0,0,0.912185,0.312257,0,0,0,0,0,0,0,0,0.899163,0.5298,1.07036,0.828944,0.275451,1.236,-0.44554,-1.09445,0.325791,1.23976,1.52336,-0.0180494,1.10616,0.423664,0.537948,0.0981524,1.25634,-0.807238,0.0453772,0.409926,0.419461,1.49084,-1.55611,-1.78602,0.992924,1.94395,-1.74866,0.103925,1.98924,1.58323,1.26215,1.59236,1.67378,1.34809,1.38292,1.72868,1.3375,1.33906
-11201.2,0.998311,0.00761947,9,511,0,11247.3,-2.62871,9.29776,0.706017,0.2348,0.182294,0.192961,0.374117,0.211433,0.182923,0.274906,0.253331,0.193604,0.888547,-0.0794227,-0.0419684,1.53199,1.86832,2.3606,2.01414,-0.788601,-1.34269,1,0.0896481,-0.0437925,0.025214,-0.0237197,0.11855,-0.173889,-0.261607,0.10451,0,0.995973,0.107101,0.336441,0.119708,-0.140938,0.0111604,-0.0566856,0.242867,0,0,0.993283,0.204334,0.152243,-0.0810238,-0.078395,-0.188784,0.0311874,0,0,0,0.918923,-0.156834,0.208369,-0.046876,-0.0489792,0.0724537,0,0,0,0,0.968159,0.0456107,-0.0743785,-0.241016,-0.0873628,0,0,0,0,0,0.956044,-0.231542,0.00707576,0.0346099,0,0,0,0,0,0,0.949816,-0.0202389,0.066431,0,0,0,0,0,0,0,0.91201,0.276706,0,0,0,0,0,0,0,0,0.91327,0.679952,1.29378,1.16877,0.513012,1.50898,-0.524614,-1.23963,0.2746,0.563074,-0.483496,0.0755427,0.712051,-0.10027,1.32758,-0.733718,-0.122766,-0.0470908,-1.26924,1.84418,-0.928872,-0.382787,-1.05701,-0.100438,0.720723,1.94197,-1.93204,0.117986,1.5702,1.61162,1.31649,1.5647,1.6607,1.33132,1.36541,1.78876,1.3152,1.38512
-11198.4,0.986109,0.00761947,9,511,0,11250.9,-1.98689,10.0826,0.707682,0.24326,0.175139,0.200337,0.392034,0.206691,0.164567,0.290364,0.255782,0.184926,1.01161,0.0214034,0.0471677,1.61177,1.97365,2.34901,2.18523,-0.849359,-1.34967,1,0.10977,-0.0493777,0.0367224,-0.0208512,0.110231,-0.17341,-0.235412,0.102825,0,0.993957,0.114993,0.339449,0.125197,-0.162101,0.0168643,-0.0513566,0.255769,0,0,0.992138,0.220378,0.137395,-0.072916,-0.089769,-0.188347,0.0621039,0,0,0,0.913706,-0.145781,0.203015,-0.0247527,-0.0478901,0.0650433,0,0,0,0,0.971474,0.0438522,-0.0603489,-0.274686,-0.110169,0,0,0,0,0,0.955572,-0.229672,0.0374852,0.0450207,0,0,0,0,0,0,0.951095,-0.0139997,0.0873111,0,0,0,0,0,0,0,0.909463,0.307259,0,0,0,0,0,0,0,0,0.894274,0.158138,0.872806,0.748605,-0.149109,1.12177,-1.14423,-1.72296,-0.321325,1.53992,-0.726797,-0.515295,0.329783,-0.527857,0.59554,0.381404,0.429875,-0.202735,-0.754609,3.03542,-1.13616,-1.39685,0.105558,-1.16907,0.603505,0.00281792,-0.775716,0.0851379,1.40783,1.59717,1.31091,1.57392,1.66391,1.35446,1.39057,1.77455,1.34889,1.35635
-11198.3,0.972899,0.00761947,9,511,0,11243.6,-3.22769,8.52057,0.701093,0.220961,0.169123,0.21158,0.379928,0.216549,0.166898,0.285337,0.251298,0.188833,0.904071,-0.0310755,-0.116009,1.45656,1.87933,2.22595,1.93904,-0.817606,-1.44651,1,0.100461,-0.0260401,0.0267376,-0.0545797,0.0850874,-0.154435,-0.234205,0.0897786,0,0.994941,0.0994922,0.322884,0.130319,-0.1128,0.0282451,-0.0608407,0.243634,0,0,0.994698,0.207784,0.156659,-0.0695479,-0.0592803,-0.185112,0.0542498,0,0,0,0.922961,-0.127561,0.217951,-0.0629231,-0.047431,0.0755101,0,0,0,0,0.969136,0.0307665,-0.0610343,-0.268564,-0.0793029,0,0,0,0,0,0.962679,-0.242196,0.0230509,0.0563121,0,0,0,0,0,0,0.951575,0.000260334,0.0657154,0,0,0,0,0,0,0,0.912289,0.299158,0,0,0,0,0,0,0,0,0.905905,0.542046,0.983428,0.789569,0.489881,1.00687,-0.128093,-0.381807,0.354268,0.170389,1.79215,-0.829845,-0.916783,0.983932,-0.589634,-0.0279279,0.875534,-1.41469,1.03929,-0.158395,2.78267,1.23053,0.692604,-0.611569,1.04201,-0.0939757,-0.714528,0.150116,3.11177,1.57107,1.24997,1.57223,1.65715,1.32056,1.34091,1.74832,1.30418,1.37927
-11202.2,0.99886,0.00761947,9,511,0,11246.7,-2.92855,8.66255,0.699362,0.226356,0.175843,0.207246,0.381483,0.216574,0.177462,0.276587,0.260138,0.191497,1.07472,-0.171428,0.0141872,1.65763,1.82807,2.63121,2.11645,-0.750949,-1.30973,1,0.129144,-0.0474858,0.0398326,-0.0103697,0.0966619,-0.158415,-0.233558,0.11771,0,0.991626,0.0954639,0.342587,0.111043,-0.131287,-0.00991936,-0.0378225,0.24766,0,0,0.9943,0.209442,0.116424,-0.0837534,-0.0912895,-0.180949,0.0479537,0,0,0,0.914976,-0.155696,0.204833,-0.0308064,-0.0267219,0.0857021,0,0,0,0,0.974559,0.0290241,-0.0512028,-0.255391,-0.0999841,0,0,0,0,0,0.961045,-0.224409,0.0393329,0.0505045,0,0,0,0,0,0,0.955271,-0.00228418,0.0945823,0,0,0,0,0,0,0,0.918578,0.307679,0,0,0,0,0,0,0,0,0.893871,0.585022,1.51721,1.01232,0.660056,1.34831,-0.159234,-0.892875,0.438693,0.725162,-1.05896,1.32562,0.391323,0.428208,-0.444275,0.300381,-1.46738,-0.45622,-0.0726058,0.724104,-1.24658,-0.515141,1.18473,-0.431019,0.516671,1.43126,-0.42221,0.066622,1.9974,1.57776,1.28677,1.53883,1.63625,1.32322,1.35715,1.74248,1.31719,1.33903
-11203,0.997807,0.00761947,9,511,0,11254.1,-7.76267,12.0556,0.700384,0.233934,0.17949,0.195611,0.382173,0.221354,0.177519,0.285764,0.245056,0.176772,1.03942,0.0294796,-0.117832,1.36523,1.78623,2.31269,1.99821,-0.821587,-1.27061,1,0.0967463,-0.0274015,0.0355597,-0.054906,0.0920838,-0.155259,-0.245005,0.0793775,0,0.995309,0.0891807,0.306926,0.127292,-0.133251,0.056328,-0.0618286,0.24175,0,0,0.995638,0.21391,0.154941,-0.0546079,-0.0720614,-0.178427,0.0560229,0,0,0,0.926701,-0.123386,0.219175,-0.0731734,-0.0387147,0.0882744,0,0,0,0,0.970336,0.0412294,-0.0760297,-0.285806,-0.0906129,0,0,0,0,0,0.959711,-0.229026,0.0133377,0.0514478,0,0,0,0,0,0,0.950758,-0.0014599,0.0645017,0,0,0,0,0,0,0,0.906063,0.291464,0,0,0,0,0,0,0,0,0.907941,1.3268,-0.184169,1.5153,-0.398979,1.64401,-0.766445,0.688677,-0.517467,-1.57241,-0.197739,0.370932,0.531995,1.96835,1.30916,0.0852843,0.104378,0.785479,-1.35217,0.500604,0.0973092,1.59327,-0.909167,-0.486908,1.26886,-0.4568,-0.973001,0.0946158,4.6409,1.58035,1.24232,1.56589,1.64876,1.3266,1.34645,1.75105,1.3114,1.37635
